O*NET-SOC Code,Title,Modified BLS Super Sector,software_automation_risk,software_automation_reason,software_and_robotics_automation_risk,software_and_robotics_automation_reason,software_only_adoption_rate,software_and_robotics_adoption_rate,automation_adoption_rate_reason
19-5011.00,Occupational Health and Safety Specialists,MANAGEMENT_CONSULTING_SERVICES,3.0,"While some tasks like data entry, report writing, and routine compliance monitoring could be automated, the role requires high-stakes ethical/legal judgment, deep domain expertise, building relationships through training, and tackling ambiguous safety problems without clear precedents - all of which are safe from software automation.",2.0,"The job involves significant human-centric care and education, on-the-fly physical problem solving during inspections, adaptability in variable work environments, and fine-motor tasks like sample collection. These physical and interpersonal aspects make it highly resistant to robotics automation.",5.0,3.0,"Management consulting services industry has moderate adoption rates for software tools but is conservative with robotics. Safety-critical applications require extensive validation and regulatory approval, slowing adoption. Training specialists on new systems and ensuring compliance across diverse client environments creates implementation challenges."
19-5012.00,Occupational Health and Safety Technicians,ADMINISTRATIVE_SUPPORT_WASTE_SERVICES,4.0,"While some tasks like documentation, record maintenance, and routine reporting are vulnerable to software automation, the role requires significant human judgment for safety evaluations, compliance determinations, training delivery, and handling ambiguous workplace hazard situations that lack clear precedents.",3.0,"Physical inspection tasks and equipment testing could potentially be automated with robotics, but the role heavily emphasizes human-centric activities like training, consultation, emergency response coordination, and complex safety judgment calls that require adaptability in variable workplace environments.",5.0,4.0,"The administrative support and waste services industry has moderate adoption rates due to regulatory compliance requirements and safety-critical nature of work. Software adoption is slightly faster for documentation and reporting, while robotics adoption is slower due to high costs of specialized safety equipment and need for human oversight in hazardous environments."
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,HEALTHCARE,3.0,"While counselors do some templated data entry and reporting, their core work involves building relationships, providing emotional support, tackling ambiguous problems, and making high-stakes ethical judgments - all areas identified as safe from software automation. The human-centric nature of addiction counseling requires empathy and personalized care.",2.0,"Substance abuse counseling is fundamentally human-centric care requiring empathy, active listening, and adaptability in variable emotional environments. The work involves creative problem-solving for complex behavioral issues and building therapeutic relationships - all areas highly resistant to robotics automation.",4.0,2.0,"Healthcare generally adopts software automation at moderate pace for administrative tasks, but is very slow to adopt robotics in patient care roles. The highly regulated nature of healthcare, ethical considerations around patient care, and need for extensive training create barriers to rapid automation adoption."
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",EDUCATIONAL_SERVICES,3.0,"Educational counselors primarily engage in relationship building, empathy-driven counseling, and complex problem-solving with ambiguous human situations. While some administrative tasks like record-keeping and report writing could be automated, the core functions require deep interpersonal skills, ethical judgment, and personalized guidance that align with 'safe duties' in the framework.",2.0,"The addition of robotics doesn't significantly increase automation risk for counselors since their work is primarily human-centric care and education. The role involves face-to-face interactions, crisis intervention, and personalized guidance that require human empathy, adaptability, and complex emotional intelligence that robotics cannot replicate effectively.",4.0,2.0,"Educational services traditionally adopt technology slowly due to regulatory requirements, budget constraints, and emphasis on human interaction. While software tools for scheduling and record-keeping may be adopted at moderate pace, robotics integration would be extremely limited given the human-centered nature of counseling work."
21-1013.00,Marriage and Family Therapists,HEALTHCARE,2.0,"Marriage and Family Therapists engage in highly human-centric activities requiring deep empathy, active listening, relationship building, and complex ethical judgment. Their work involves tackling ambiguous problems without clear precedents, providing emotional support, and making high-stakes decisions about mental health treatment - all areas identified as safe from software automation.",1.0,"This role is fundamentally centered on human connection, emotional intelligence, and personalized care delivery. The work requires adaptability in variable emotional environments, creative problem-solving for unique family dynamics, and fine-tuned interpersonal skills that cannot be replicated by robotics. The human-centric nature of therapy makes it highly resistant to automation.",4.0,2.0,"Healthcare generally adopts technology cautiously due to regulatory requirements, patient safety concerns, and the need for extensive training. While administrative tools and scheduling software may be adopted moderately, the therapeutic core of this profession requires human expertise. The industry's conservative approach to change, combined with ethical considerations around mental health care, results in slow adoption of automation technologies."
21-1014.00,Mental Health Counselors,HEALTHCARE,2.0,"Mental health counseling requires deep human connection, empathy, complex ethical judgment, and tackling ambiguous psychological problems without clear precedents. These core activities align with 'safe duties' like building relationships, high-stakes ethical judgment, and framing novel therapeutic solutions that resist software automation.",1.0,"Mental health counseling is fundamentally human-centric care requiring emotional intelligence, adaptability to variable client needs, and creative therapeutic approaches. The profession involves fine-motor emotional craftsmanship and on-the-fly problem solving in complex human situations that robotics cannot replicate.",4.0,2.0,"Healthcare generally adopts technology cautiously due to regulatory requirements, patient safety concerns, and professional licensing standards. Mental health specifically faces additional barriers including client trust issues, ethical considerations around AI in therapy, and the deeply personal nature of therapeutic relationships that resist technological substitution."
21-1015.00,Rehabilitation Counselors,HEALTHCARE,3.0,"Rehabilitation counselors primarily engage in relationship building, coaching, complex problem-solving, and high-stakes ethical judgment - all identified as safe duties. While some administrative tasks like record-keeping are vulnerable, the core human-centric counseling, personalized treatment planning, and empathetic client support require deep interpersonal skills that software cannot replicate.",2.0,"The addition of robotics doesn't significantly increase automation risk for rehabilitation counselors. Their work is fundamentally human-centric care and education, requiring adaptability in variable environments and on-the-fly problem solving. The job involves creative approaches to individual client needs and building therapeutic relationships - areas where human expertise remains irreplaceable.",5.0,3.0,"Healthcare generally adopts software automation at moderate pace due to regulatory requirements and patient safety concerns. Electronic health records and scheduling systems are common, but clinical decision-making tools require extensive validation. Robotics adoption is slower due to high costs, training requirements, and the deeply personal nature of rehabilitation counseling services."
21-1021.00,"Child, Family, and School Social Workers",HEALTHCARE,3.0,"Child, Family, and School Social Workers have low-medium software automation risk. Their core duties involve high-stakes ethical judgment, building relationships, coaching, and tackling ambiguous problems without clear precedents - all identified as safe duties. While some administrative tasks like record-keeping and report writing are vulnerable, the human-centric nature of counseling, assessment, and intervention planning requires deep empathy and contextual understanding that current AI cannot replicate.",2.0,"Adding robotics doesn't significantly increase automation risk for social workers since their work is primarily cognitive and interpersonal rather than physical. The role centers on human-centric care, education, adaptability in variable environments, and creative problem-solving - all identified as safe from robotics automation. Physical tasks are minimal and mostly involve office work rather than repetitive manual labor.",4.0,3.0,"Healthcare and social services sectors are traditionally conservative in adopting new technologies due to regulatory requirements, ethical considerations, and the need for extensive training. While some administrative automation tools may be adopted moderately, the human-centered nature of social work and concerns about client privacy and safety will slow comprehensive automation adoption. Professional licensing and liability issues also create barriers to rapid technological change."
21-1022.00,Healthcare Social Workers,HEALTHCARE,3.0,"Healthcare social workers perform complex human-centered tasks requiring empathy, ethical judgment, relationship building, and tackling ambiguous problems without clear precedents. While some documentation and administrative tasks are vulnerable, core duties like counseling, crisis intervention, and care coordination require deep interpersonal skills and contextual understanding that software cannot replicate.",2.0,"Even with robotics, healthcare social work remains highly protected due to its fundamentally human-centric nature. The role involves emotional support, complex ethical decisions, adaptability in variable environments, and creative problem-solving in crisis situations. These core competencies align strongly with automation-safe duties and cannot be effectively replaced by robotics.",5.0,3.0,"Healthcare industry adopts software automation at moderate pace for administrative tasks but slowly for patient-facing roles due to regulatory requirements, privacy concerns, and the critical nature of human care. Training staff and ensuring compliance with healthcare standards creates additional barriers to rapid automation adoption."
21-1023.00,Mental Health and Substance Abuse Social Workers,HEALTHCARE,2.0,"Mental health social workers engage in high-stakes ethical judgment, deep interpersonal relationship building, tackling ambiguous problems without clear precedents, and providing human-centric care. These core duties align with safe activities that require empathy, active listening, creative thinking, and complex problem-solving that software cannot replicate.",2.0,"Even with robotics, this role remains highly protected due to its fundamental reliance on human-centric care, adaptability in variable emotional environments, creative therapeutic expression, and on-the-fly problem solving in complex psychological situations. The human connection and empathy required cannot be automated.",4.0,3.0,"Healthcare has moderate adoption rates for software tools (scheduling, records management) but is conservative with patient-facing automation due to regulatory requirements, ethical concerns, and the critical nature of mental health services. Training costs and liability issues slow robotics adoption further."
21-1091.00,Health Education Specialists,HEALTHCARE,3.0,"Health Education Specialists engage in high-stakes ethical judgment, relationship building, and tackling ambiguous health problems without clear precedents. While some administrative tasks like data entry and reporting could be automated, the core functions require deep domain expertise, creative thinking, and human-centric care that are protected from software automation.",2.0,"The role is heavily focused on human-centric care, education, and adaptability in variable community environments. These professionals provide personalized health guidance, build trust with diverse populations, and solve complex social health problems - all requiring creative physical expression and on-the-fly problem solving that robotics cannot replicate.",6.0,4.0,"Healthcare industry adopts software automation moderately for administrative tasks and data management, but is slower with robotics due to regulatory requirements, patient safety concerns, and the need for extensive training. The human-centered nature of health education creates additional barriers to automation adoption."
21-1092.00,Probation Officers and Correctional Treatment Specialists,GOVERNMENT,3.0,"While probation officers handle some routine documentation and data entry tasks, their core work involves high-stakes ethical/legal judgment, building relationships with offenders, tackling ambiguous problems without clear precedents, and providing human-centric care. These activities align with safe duties in software automation scenarios, significantly reducing automation risk despite some administrative vulnerabilities.",2.0,"Probation officers' work is fundamentally human-centric, involving face-to-face counseling, relationship building, complex ethical decision-making, and adaptability in variable environments with offenders. The job requires empathy, active listening, and on-the-fly problem solving in unpredictable situations - all characteristics that make it highly resistant to robotics automation.",4.0,2.0,"Government sector typically has slower technology adoption due to bureaucratic processes, budget constraints, and regulatory requirements. Additionally, the sensitive nature of criminal justice work involving human rehabilitation requires careful implementation of any automation tools, with extensive training and system validation needed before deployment."
21-1093.00,Social and Human Service Assistants,HEALTHCARE,3.0,"Social and Human Service Assistants primarily engage in human-centric care, relationship building, and complex problem-solving requiring empathy and active listening. While some administrative tasks like record-keeping and report writing are vulnerable to software automation, the core duties involve high-stakes ethical judgment, coaching, and tackling ambiguous problems without clear precedents - all identified as safe duties in the premises.",2.0,"The addition of robotics doesn't significantly increase automation risk for this role. The job fundamentally involves human-centric care, education, and adaptability in variable environments - all identified as safe duties. Physical tasks are minimal and primarily involve transportation and demonstration activities that require human judgment and interpersonal skills rather than repetitive physical labor.",5.0,3.0,"Healthcare industry has moderate adoption rates for software automation, particularly for administrative functions like EMR systems. However, robotics adoption is slower due to regulatory requirements, high costs, and the human-centered nature of care services. Training staff and ensuring compliance with healthcare standards creates additional barriers to rapid automation adoption."
21-1094.00,Community Health Workers,HEALTHCARE,3.0,"Community Health Workers primarily engage in relationship building, empathy-driven care, cultural mediation, and complex problem-solving in variable community contexts. While some administrative tasks like record-keeping and basic reporting could be automated, the core duties require deep human connection, cultural sensitivity, and adaptive judgment that software cannot replicate effectively.",2.0,"Even with robotics, Community Health Workers remain highly protected due to their human-centric care focus, need for cultural interpretation, home visits requiring environmental adaptability, and building trust relationships with vulnerable populations. The role fundamentally requires human empathy, social perceptiveness, and community connection that neither software nor robotics can substitute.",4.0,3.0,"Healthcare industry adoption is moderate but cautious due to regulatory requirements, patient safety concerns, and the need for extensive training. Community health programs often operate with limited budgets and serve vulnerable populations, making technology adoption slower. Cultural sensitivity and trust-building requirements further limit automation acceptance in this field."
21-2011.00,Clergy,SPECIAL_INDUSTRIES,2.0,"Clergy work involves deep human connection, spiritual guidance, counseling, and ethical judgment - all areas that are highly resistant to software automation. The role requires empathy, active listening, building relationships, and tackling ambiguous spiritual/emotional problems without clear precedents, which align with safe duties in the premises.",1.0,"Even with robotics, clergy work remains highly protected due to its fundamentally human-centric nature. The role centers on spiritual care, emotional support, crisis intervention, and building meaningful relationships - all requiring human empathy, wisdom, and authentic connection that cannot be replicated by machines.",3.0,2.0,"Religious institutions are traditionally conservative and slow to adopt new technologies, prioritizing human connection and spiritual authenticity. While some administrative tasks may use software tools, the core spiritual and pastoral functions resist automation. The sacred nature of the work and congregation expectations favor human clergy."
21-2021.00,"Directors, Religious Activities and Education",EDUCATIONAL_SERVICES,2.0,"This role involves high-stakes ethical/legal judgment, building relationships & coaching, deep domain expertise in theology/philosophy, and tackling ambiguous interpersonal problems. These activities align with 'safe duties' that require empathy, leadership, creative thinking, and experiential wisdom that AI cannot replicate in the short term.",2.0,"Even with robotics, this role remains highly protected due to its human-centric care & education focus, adaptability in variable spiritual/emotional environments, and creative physical expression in religious ceremonies. The core activities require deep human connection, spiritual guidance, and contextual understanding that technology cannot replace.",4.0,3.0,"Educational services sector adopts technology moderately for administrative tasks but slowly for core human-centered roles. Religious organizations are traditionally conservative with technology adoption, prioritizing human connection. Training staff and implementing systems across diverse congregations creates additional barriers to rapid automation adoption."
23-1011.00,Lawyers,LEGAL_SERVICES,3.0,"Lawyers perform high-stakes ethical/legal judgment, tackle ambiguous problems without clear precedents, and require deep domain expertise. While some routine document preparation and research tasks may be automated, core legal reasoning, client representation, and strategic decision-making remain largely protected from software automation.",2.0,"Legal work is primarily cognitive and relationship-based, requiring human-centric consultation, complex problem-solving, and ethical judgment. Robotics adds minimal automation potential beyond software capabilities. The profession's emphasis on interpersonal skills, creative thinking, and adaptability in variable legal environments provides strong protection.",5.0,3.0,"Legal services industry adopts technology moderately due to regulatory constraints, ethical considerations, and conservative culture. While legal research tools and document management systems are increasingly used, full automation faces resistance due to liability concerns, client trust requirements, and complex regulatory approval processes."
23-1012.00,Judicial Law Clerks,LEGAL_SERVICES,4.0,"Judicial Law Clerks face moderate software automation risk. While they perform some vulnerable duties like templated data entry, standardized correspondence, and routine reporting, their core work involves high-stakes ethical/legal judgment, tackling ambiguous legal problems, and deep domain expertise - all of which are safe from software automation according to the premises.",3.0,"With robotics added, the risk remains low-moderate as Judicial Law Clerks work primarily in cognitive tasks requiring legal expertise, critical thinking, and human judgment. Their work involves human-centric legal processes and adaptability in variable legal environments, which are identified as safe duties in the long-term automation scenario.",5.0,3.0,"Legal services industry has moderate software adoption due to regulatory constraints, ethical considerations, and the need for human oversight in legal decisions. Training legal professionals on new systems and ensuring compliance with legal standards slows adoption. Robotics adoption is slower as most legal work is cognitive rather than physical."
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",LEGAL_SERVICES,3.0,"Administrative Law Judges require high-stakes ethical/legal judgment, deep domain expertise, and tackling ambiguous problems without clear precedents. While some administrative tasks like scheduling and document processing are vulnerable, the core judicial functions involving complex legal reasoning, interpreting precedents, and making nuanced decisions in unique cases remain largely protected from software automation.",2.0,"Robotics adds minimal additional risk since this role is primarily cognitive and involves human-centric activities like conducting hearings, resolving conflicts, and providing legal guidance. The position requires adaptability in variable legal environments, creative problem-solving for unique cases, and human-centered care in dispute resolution - all areas that remain safe from robotics automation.",4.0,3.0,"The legal services industry is traditionally conservative and slow to adopt new technologies due to regulatory requirements, ethical considerations, and the high stakes nature of legal decisions. While some administrative automation tools are being adopted, core judicial functions require extensive validation and regulatory approval, making adoption cautious and gradual."
23-1022.00,"Arbitrators, Mediators, and Conciliators",LEGAL_SERVICES,2.0,"Arbitrators, mediators, and conciliators perform high-stakes ethical/legal judgment, build relationships through coaching and negotiation, tackle ambiguous problems without clear precedents, and require deep domain expertise. These duties align with 'safe' categories in software automation, making them highly resistant to short-term automation.",2.0,"This role involves human-centric care through dispute resolution, adaptability in variable conflict environments, creative problem-solving in unique legal situations, and on-the-fly judgment calls. These characteristics strongly align with robotics-safe duties, maintaining low automation risk even in long-term scenarios.",4.0,3.0,"Legal services industry is traditionally conservative and slow to adopt new technologies due to regulatory requirements, ethical considerations, and the need for human judgment in legal matters. Training legal professionals and ensuring compliance with legal standards creates additional barriers to automation adoption."
23-1023.00,"Judges, Magistrate Judges, and Magistrates",LEGAL_SERVICES,2.0,"Judges perform high-stakes ethical/legal judgment, tackle ambiguous problems without clear precedents, and require deep domain expertise. Their work involves framing strategy, building relationships, and making complex decisions that require human wisdom, empathy, and contextual understanding - all safe duties from software automation.",1.0,"Judicial work is entirely human-centric, requiring empathy, active listening, creative thinking, and on-the-fly problem solving in variable courtroom environments. The role involves physical presence for ceremonies and hearings, but more importantly, requires human judgment that cannot be replicated by robotics.",3.0,1.0,"Legal services industry is traditionally conservative and slow to adopt new technologies due to regulatory constraints, ethical considerations, and the critical nature of judicial decisions. While some administrative software tools may be adopted, core judicial functions will remain human-controlled for legal and ethical reasons."
23-2011.00,Paralegals and Legal Assistants,LEGAL_SERVICES,7.0,"Paralegals perform many tasks vulnerable to software automation including templated data entry, rule-based admin workflows, standardized correspondence generation, and metric-driven reporting. However, they also engage in high-stakes legal judgment, relationship building with clients, and tackling ambiguous legal problems which are safer from automation.",7.0,"Adding robotics doesn't significantly change the automation risk for paralegals since their work is primarily knowledge-based rather than physical. The risk remains medium as core legal research, client interaction, and complex case analysis still require human judgment and adaptability in variable legal environments.",6.0,4.0,"Legal services industry has moderate adoption rates for software automation due to regulatory compliance requirements and conservative culture. However, document management and legal research tools are increasingly adopted. Robotics adoption is slower as most paralegal work doesn't require physical automation."
23-2093.00,"Title Examiners, Abstractors, and Searchers",REAL_ESTATE_RENTAL_LEASING,7.0,"Title examiners perform many tasks vulnerable to software automation: templated data entry, rule-based document verification, metric-driven reporting, and standardized correspondence. However, they retain some protection through high-stakes legal judgment, domain expertise in property law, and complex problem-solving when title issues arise.",7.0,"Robotics adds minimal risk beyond software automation since this is primarily a knowledge-based role. The job remains at medium-high risk due to software's ability to automate document examination, data processing, and routine title searches, while legal expertise and complex title resolution provide some protection.",6.0,5.0,"Real estate industry has moderate adoption rates due to regulatory compliance requirements and conservative nature. Software adoption is faster for document processing and database management, while robotics offers limited additional value. Training costs and legal liability concerns may slow implementation."
25-1011.00,"Business Teachers, Postsecondary",EDUCATIONAL_SERVICES,3.0,"Business teachers engage in high-level activities like framing strategy, tackling ambiguous problems, building relationships, and providing ethical judgment. While some administrative tasks (grading, record-keeping) are vulnerable, core teaching, mentoring, and research activities require deep domain expertise and human interaction that software cannot replicate.",2.0,"Robotics adds minimal additional risk since teaching is primarily cognitive work. The role involves human-centric education, adaptability in variable classroom environments, and creative physical expression through presentations. Core activities remain protected by need for empathy, relationship-building, and complex problem-solving.",6.0,4.0,"Educational services adopt software tools moderately (LMS, grading systems) but slowly for core teaching functions due to institutional conservatism and emphasis on human interaction. Robotics adoption is slower as physical teaching presence and human connection remain valued. Budget constraints and faculty resistance also slow adoption."
25-1021.00,"Computer Science Teachers, Postsecondary",EDUCATIONAL_SERVICES,3.0,"Computer Science Teachers engage in high-level educational activities requiring deep domain expertise, creative thinking, relationship building, and tackling ambiguous problems. While some administrative tasks like grading and record-keeping are vulnerable to software automation, the core teaching, mentoring, and research functions require human judgment and interpersonal skills that are safe from short-term software automation.",2.0,"The role involves primarily human-centric education, creative physical expression through teaching, and adaptability in variable classroom environments. Physical robotics adds little automation risk since the job is fundamentally about human interaction, knowledge transfer, and intellectual guidance - areas where human presence and expertise remain irreplaceable even with advanced robotics.",4.0,3.0,"Educational services industry is traditionally conservative in adopting new technologies due to institutional bureaucracy, budget constraints, and the need for extensive faculty training. While some software tools for grading and course management are adopted, comprehensive automation faces resistance due to the human-centered nature of education and concerns about maintaining educational quality."
25-1022.00,"Mathematical Science Teachers, Postsecondary",EDUCATIONAL_SERVICES,3.0,"Mathematical Science Teachers have moderate software automation risk. While some administrative tasks like grading and record-keeping could be automated, core teaching activities require deep domain expertise, creative problem-solving, relationship building, and tackling ambiguous mathematical concepts - all identified as safe duties in the premises.",2.0,"Adding robotics doesn't significantly increase automation risk for postsecondary math teachers. The role is fundamentally human-centric, involving education, mentoring, and complex intellectual discourse. Physical presence for teaching is minimal compared to cognitive and interpersonal demands that remain automation-resistant.",6.0,3.0,"Educational services adopt software tools moderately fast (LMS, grading systems, online platforms) as seen in job's technology skills. However, robotics adoption is slow due to high costs, institutional conservatism, and the fundamentally human nature of higher education teaching that resists physical automation."
25-1031.00,"Architecture Teachers, Postsecondary",EDUCATIONAL_SERVICES,3.0,"Architecture teachers engage in creative curriculum design, personalized student mentoring, and complex problem-solving in architectural education. While some administrative tasks like grading and record-keeping could be automated, the core teaching, creative guidance, and relationship-building aspects require human expertise and cannot be easily replaced by software alone.",2.0,"Even with advanced robotics, architecture teaching remains highly human-centric. The role requires creative physical expression in design studios, adaptability in variable educational environments, fine-motor craftsmanship guidance, and human-centric care in education. These core competencies align strongly with automation-safe duties and cannot be replicated by robotics.",4.0,3.0,"Educational services traditionally adopt technology slowly due to institutional inertia, budget constraints, and the need for extensive faculty training. While software tools for administration and design are gradually being integrated, the human-centered nature of teaching limits automation adoption. Robotics adoption would be even slower given the interpersonal focus of education."
25-1032.00,"Engineering Teachers, Postsecondary",EDUCATIONAL_SERVICES,3.0,"Engineering professors engage in high-level creative thinking, strategic curriculum design, and complex problem-solving that requires deep domain expertise. While some administrative tasks like grading and record-keeping could be automated, the core teaching, research, and mentoring functions require human judgment, creativity, and interpersonal skills that are safe from software automation.",2.0,"The addition of robotics doesn't significantly increase automation risk for postsecondary engineering teachers. Their work is primarily intellectual and interpersonal - conducting research, teaching complex concepts, mentoring students, and providing expert consultation. These activities require human creativity, emotional intelligence, and adaptability that robotics cannot replicate.",4.0,3.0,"Educational institutions are traditionally conservative in adopting new technologies due to established pedagogical practices, faculty resistance to change, and budget constraints. While some software tools for grading and course management are being adopted, comprehensive automation faces institutional inertia and the need for extensive faculty training."
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",EDUCATIONAL_SERVICES,3.0,"Agricultural Sciences Teachers engage primarily in high-level educational activities requiring deep domain expertise, relationship building, creative thinking, and tackling ambiguous problems. While some administrative tasks like grading and record-keeping are vulnerable to software automation, the core teaching, research, mentoring, and strategic curriculum development functions are largely protected by requiring human judgment, creativity, and interpersonal skills.",2.0,"The addition of robotics capabilities doesn't significantly increase automation risk for this role. Agricultural Sciences Teachers work primarily in controlled indoor environments focusing on education, research, and human interaction. The job involves minimal physical tasks that would benefit from robotic automation, and the core functions remain centered on human-centric education, creative problem-solving, and relationship building.",5.0,4.0,"Educational services industry has moderate adoption rates due to institutional inertia, budget constraints, and the need for extensive faculty training. Universities are increasingly adopting learning management systems and research tools, but comprehensive automation faces resistance due to the human-centered nature of education and the complexity of academic environments."
25-1042.00,"Biological Science Teachers, Postsecondary",EDUCATIONAL_SERVICES,3.0,"Biological science teaching involves high-stakes educational judgment, building relationships with students, tackling ambiguous research problems, and deep domain expertise. While some administrative tasks like grading and record-keeping are vulnerable, the core teaching, mentoring, and research activities require human creativity, empathy, and complex problem-solving that software cannot replicate.",2.0,"Even with robotics, the human-centric nature of education remains paramount. Teaching requires adaptability to variable classroom environments, creative physical expression in demonstrations, and fine-motor skills for laboratory work. The interpersonal aspects of mentoring, advising, and inspiring students cannot be automated by robotics.",4.0,2.0,"Educational institutions are traditionally conservative in adopting new technologies due to established pedagogical practices, faculty resistance to change, and significant training requirements. While some software tools for grading and course management are adopted, comprehensive automation faces institutional inertia and the need to maintain educational quality standards."
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",EDUCATIONAL_SERVICES,2.0,"This role involves high-stakes educational judgment, deep domain expertise in forestry/conservation, creative curriculum design, and extensive human relationship building through teaching and mentoring. These activities align with 'safe duties' like framing strategy, tackling ambiguous problems, and building relationships that are resistant to software automation.",1.0,"The job requires human-centric education, adaptability in variable teaching environments, creative physical expression through field work supervision, and on-the-fly problem solving in diverse forestry contexts. These activities strongly align with robotics-resistant duties like human-centric care/education and creative physical expression.",4.0,3.0,"Educational services traditionally adopt technology slowly due to institutional inertia, faculty resistance to change, and the need for extensive training. While some educational software tools are adopted, the human-centered nature of teaching and the specialized forestry domain create additional barriers to automation adoption."
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",EDUCATIONAL_SERVICES,2.0,"This role involves high-stakes educational judgment, deep domain expertise, relationship building with students, creative curriculum design, and tackling ambiguous research problems. These activities align with safe duties like framing strategy, building relationships, and requiring experiential expertise that resist software automation.",1.0,"Teaching requires human-centric education, adaptability in variable classroom environments, creative physical expression in demonstrations, and on-the-fly problem solving with students. The role involves fine-motor tasks like laboratory supervision and field work that require human judgment and adaptability.",4.0,2.0,"Educational services traditionally adopt technology slowly due to institutional inertia, faculty resistance to change, budget constraints, and the need for extensive training. While software tools for grading and content delivery may see moderate adoption, robotics integration faces significant barriers in academic settings."
25-1052.00,"Chemistry Teachers, Postsecondary",EDUCATIONAL_SERVICES,2.0,"Chemistry professors engage in high-stakes educational judgment, deep domain expertise, relationship building with students, creative problem-solving in research, and tackling ambiguous scientific problems. These activities align strongly with safe duties like framing strategy, building relationships, and requiring experiential expertise that software cannot easily replicate.",2.0,"Even with robotics, the core human-centric education, mentoring, creative research design, and adaptive teaching in variable classroom environments remain highly protected. The job requires fine-motor skills for lab demonstrations, on-the-fly problem solving, and creative physical expression in teaching that robotics cannot effectively replace.",4.0,3.0,"Educational institutions are traditionally conservative in adopting new technologies due to established pedagogical practices, faculty resistance to change, and significant training requirements. While some software tools for grading and course management are adopted, comprehensive automation faces institutional inertia and the need for extensive faculty retraining."
25-1053.00,"Environmental Science Teachers, Postsecondary",EDUCATIONAL_SERVICES,3.0,"Environmental Science Teachers engage in high-stakes educational judgment, relationship building, creative thinking, and tackling ambiguous problems without clear precedents. While some administrative tasks like grading and record-keeping are vulnerable, the core teaching, mentoring, and research activities require deep domain expertise and human interaction that software cannot replicate.",2.0,"The addition of robotics doesn't significantly increase automation risk for postsecondary teachers. The role remains centered on human-centric education, creative physical expression in laboratory settings, adaptability in variable classroom environments, and on-the-fly problem solving during instruction - all areas where humans excel over robotics.",6.0,4.0,"Educational services adopt software tools moderately well (LMS, grading systems, research tools) but robotics adoption is slower due to high costs, complex training needs, and the fundamentally human-centered nature of education. Universities are cautious about replacing human instructors with automated systems."
25-1054.00,"Physics Teachers, Postsecondary",EDUCATIONAL_SERVICES,3.0,"Physics teachers engage in high-stakes educational judgment, deep domain expertise, creative problem-solving, and relationship building with students. While some administrative tasks like grading and record-keeping are vulnerable, the core teaching, mentoring, and research activities require human creativity, empathy, and complex reasoning that software cannot replicate.",2.0,"Even with robotics, physics teaching remains fundamentally human-centric, requiring adaptability in variable classroom environments, fine-motor demonstration skills, creative physical expression in experiments, and on-the-fly problem solving. The interpersonal nature of education and need for empathetic student guidance makes this role highly resistant to automation.",4.0,2.0,"Educational institutions are traditionally slow to adopt new technologies due to budget constraints, regulatory requirements, and the need for extensive faculty training. While software tools for grading and course management may see moderate adoption, robotics integration faces significant barriers including high costs, safety concerns, and institutional resistance to change."
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",EDUCATIONAL_SERVICES,3.0,"Anthropology professors engage in creative thinking, deep domain expertise, relationship building through teaching/mentoring, and tackling ambiguous research problems - all safe duties. While some administrative tasks like grading and record-keeping are vulnerable, the core intellectual and interpersonal work remains protected from software automation.",2.0,"The role involves primarily human-centric education, creative physical expression through fieldwork, and adaptability in variable research environments. These are all safe duties in the robotics era. The job requires minimal physical repetitive tasks, making it highly resistant to both software and robotics automation.",4.0,3.0,"Educational services traditionally adopt technology slowly due to institutional inertia, budget constraints, and emphasis on human interaction. Universities are conservative with pedagogical changes, requiring extensive faculty training and system integration. Robotics adoption would be even slower given the human-centered nature of teaching and research."
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",EDUCATIONAL_SERVICES,2.0,"This role involves high-stakes educational judgment, deep domain expertise, creative thinking, relationship building, and tackling ambiguous cultural/social problems without clear precedents. These activities align strongly with 'safe duties' in software automation, making it highly resistant to short-term automation.",1.0,"The job is entirely human-centric involving education, mentoring, cultural interpretation, and creative physical expression through teaching. It requires adaptability in variable classroom environments and fine-motor skills for demonstrations. These align perfectly with robotics-safe duties, making automation risk extremely low.",4.0,2.0,"Educational services industry is traditionally conservative in adopting new technologies due to institutional bureaucracy, faculty resistance to change, and emphasis on human interaction. While some digital tools are adopted, comprehensive automation faces significant cultural and regulatory barriers in academia."
