O*NET-SOC Code,total_technologies,hot_technologies,in_demand_technologies,unique_tech_categories,hot_tech_ratio,in_demand_ratio,avg_tech_sophistication,category_distribution,tech_intensity_score,SOC_Detailed,detailed_title,major_code,major_title,minor_code,minor_title,broad_code,broad_title
17-1012.00,28,18,17,14,0.6428571428571429,0.6071428571428571,1.7142857142857142,"{'Document management software': 1, 'Graphics or photo imaging software': 5, 'Desktop publishing software': 2, 'Video creation and editing software': 1, 'Computer aided design CAD software': 8, 'Geographic information system': 3, 'Data base user interface and query software': 1, 'Spreadsheet software': 1, 'Office suite software': 1, 'Electronic mail software': 1, 'Presentation software': 1, 'Project management software': 1, 'Word processing software': 1, 'Internet browser software': 1}",16.317647058823532,17-1012,Landscape Architects,17-0000,Architecture and Engineering Occupations,17-1000,"Architects, Surveyors, and Cartographers",17-1010,"Architects, Except Naval"
17-1021.00,73,24,3,27,0.3287671232876712,0.0410958904109589,1.3972602739726028,"{'Document management software': 1, 'Graphics or photo imaging software': 7, 'Web page creation and editing software': 2, 'Desktop publishing software': 4, 'Map creation software': 11, 'Data compression software': 1, 'Computer aided design CAD software': 5, 'Data base user interface and query software': 4, 'Analytical or scientific software': 5, 'Development environment software': 4, 'Information retrieval or search software': 4, 'Electronic mail software': 2, 'Geographic information system': 6, 'Enterprise application integration software': 1, 'Platform interconnectivity software': 1, 'Web platform development software': 1, 'Flight control software': 1, 'Spreadsheet software': 2, 'Internet browser software': 1, 'Office suite software': 1, 'Operating system software': 2, 'Presentation software': 1, 'Cloud-based data access and sharing software': 1, 'Word processing software': 2, 'Object or component oriented development software': 1, 'Data base management system software': 1, 'Enterprise resource planning ERP software': 1}",13.709266720386786,17-1021,Cartographers and Photogrammetrists,17-0000,Architecture and Engineering Occupations,17-1000,"Architects, Surveyors, and Cartographers",17-1020,"Surveyors, Cartographers, and Photogrammetrists"
17-1022.00,49,7,5,18,0.1428571428571428,0.1020408163265306,1.4081632653061225,"{'Computer aided design CAD software': 9, 'Graphics or photo imaging software': 1, 'Map creation software': 7, 'Geographic information system': 5, 'Analytical or scientific software': 10, 'Application server software': 1, 'Project management software': 3, 'Data conversion software': 1, 'Data base user interface and query software': 1, 'Document management software': 1, 'Mobile location based services software': 1, 'Internet browser software': 1, 'Office suite software': 2, 'Spreadsheet software': 2, 'Word processing software': 1, 'Route navigation software': 1, 'Time accounting software': 1, 'Information retrieval or search software': 1}",10.775270108043216,17-1022,Surveyors,17-0000,Architecture and Engineering Occupations,17-1000,"Architects, Surveyors, and Cartographers",17-1020,"Surveyors, Cartographers, and Photogrammetrists"
17-1022.01,38,17,0,16,0.4473684210526316,0.0,1.8421052631578947,"{'Map creation software': 5, 'Data base user interface and query software': 3, 'Computer aided design CAD software': 6, 'Object or component oriented development software': 3, 'Analytical or scientific software': 7, 'Electronic mail software': 1, 'Geographic information system': 3, 'Web platform development software': 1, 'Operating system software': 2, 'Spreadsheet software': 1, 'Office suite software': 1, 'Presentation software': 1, 'Word processing software': 1, 'Object oriented data base management software': 1, 'Enterprise resource planning ERP software': 1, 'Internet browser software': 1}",15.472445820433435,17-1022,,,,,,,
17-2011.00,85,25,9,19,0.2941176470588235,0.1058823529411764,2.5058823529411764,"{'Computer aided manufacturing CAM software': 2, 'Development environment software': 9, 'Analytical or scientific software': 38, 'Computer aided design CAD software': 9, 'Object or component oriented development software': 6, 'Enterprise application integration software': 1, 'Operating system software': 5, 'Configuration management software': 1, 'Requirements analysis and system architecture software': 2, 'Graphics or photo imaging software': 1, 'Data base user interface and query software': 2, 'Spreadsheet software': 1, 'Office suite software': 1, 'Electronic mail software': 1, 'Presentation software': 1, 'Project management software': 2, 'Process mapping and design software': 1, 'Word processing software': 1, 'Enterprise resource planning ERP software': 1}",19.47058823529412,17-2011,Aerospace Engineers,17-0000,Architecture and Engineering Occupations,17-2000,Engineers,17-2010,Aerospace Engineers
17-2021.00,24,16,0,17,0.6666666666666666,0.0,1.75,"{'Desktop publishing software': 1, 'Graphics or photo imaging software': 1, 'Computer aided design CAD software': 5, 'Enterprise resource planning ERP software': 2, 'Geographic information system': 1, 'Data base user interface and query software': 2, 'Spreadsheet software': 1, 'Office suite software': 1, 'Electronic mail software': 1, 'Presentation software': 1, 'Project management software': 1, 'Cloud-based data access and sharing software': 1, 'Word processing software': 2, 'Object or component oriented development software': 1, 'Analytical or scientific software': 1, 'Industrial control software': 1, 'Internet browser software': 1}",16.546078431372553,17-2021,Agricultural Engineers,17-0000,Architecture and Engineering Occupations,17-2000,Engineers,17-2020,Agricultural Engineers
17-2031.00,139,33,4,28,0.237410071942446,0.0287769784172661,2.237410071942446,"{'Enterprise resource planning ERP software': 3, 'Development environment software': 11, 'Medical software': 8, 'Graphics or photo imaging software': 3, 'Analytical or scientific software': 55, 'Computer aided design CAD software': 14, 'Object or component oriented development software': 4, 'Charting software': 1, 'Computer aided manufacturing CAM software': 2, 'Program testing software': 3, 'Pattern design software': 1, 'Compliance software': 1, 'Enterprise application integration software': 3, 'Data base user interface and query software': 5, 'Web platform development software': 3, 'Configuration management software': 1, 'Requirements analysis and system architecture software': 3, 'Operating system software': 5, 'Process mapping and design software': 2, 'Spreadsheet software': 1, 'Office suite software': 1, 'Electronic mail software': 1, 'Presentation software': 1, 'Project management software': 2, 'Word processing software': 2, 'Expert system software': 1, 'Data base reporting software': 1, 'Cloud-based management software': 1}",20.10232754972493,17-2031,Bioengineers and Biomedical Engineers,17-0000,Architecture and Engineering Occupations,17-2000,Engineers,17-2030,Bioengineers and Biomedical Engineers
17-2041.00,60,16,4,18,0.2666666666666666,0.0666666666666666,2.35,"{'Analytical or scientific software': 26, 'Computer aided design CAD software': 7, 'Development environment software': 3, 'Object or component oriented development software': 3, 'Graphics or photo imaging software': 1, 'Data base user interface and query software': 5, 'Financial analysis software': 1, 'Computer aided manufacturing CAM software': 1, 'Desktop publishing software': 1, 'Industrial control software': 2, 'Spreadsheet software': 2, 'Electronic mail software': 1, 'Office suite software': 1, 'Presentation software': 2, 'Project management software': 1, 'Process mapping and design software': 1, 'Word processing software': 1, 'Enterprise resource planning ERP software': 1}",17.24019607843137,17-2041,Chemical Engineers,17-0000,Architecture and Engineering Occupations,17-2000,Engineers,17-2040,Chemical Engineers
17-2051.00,74,25,8,23,0.3378378378378378,0.1081081081081081,2.0405405405405403,"{'Document management software': 1, 'File versioning software': 1, 'Computer aided design CAD software': 20, 'Graphics or photo imaging software': 4, 'Development environment software': 5, 'Map creation software': 2, 'Office suite software': 2, 'Project management software': 4, 'Analytical or scientific software': 12, 'Electronic mail software': 3, 'Geographic information system': 4, 'Enterprise application integration software': 1, 'Data base user interface and query software': 1, 'Object or component oriented development software': 1, 'Enterprise resource planning ERP software': 3, 'Spreadsheet software': 2, 'Internet browser software': 2, 'Presentation software': 1, 'Word processing software': 1, 'Business intelligence and data analysis software': 1, 'Calendar and scheduling software': 1, 'Operating system software': 1, 'Industrial control software': 1}",17.06343402225755,17-2051,Civil Engineers,17-0000,Architecture and Engineering Occupations,17-2000,Engineers,17-2050,Civil Engineers
17-2051.01,32,13,9,13,0.40625,0.28125,2.15625,"{'Computer aided design CAD software': 10, 'Analytical or scientific software': 9, 'Geographic information system': 1, 'Spreadsheet software': 1, 'Office suite software': 1, 'Electronic mail software': 1, 'Presentation software': 1, 'Project management software': 2, 'Word processing software': 2, 'Object or component oriented development software': 1, 'Data base user interface and query software': 1, 'Materials requirements planning logistics and supply chain software': 1, 'Internet browser software': 1}",16.349632352941175,17-2051,,,,,,,
17-2051.02,51,17,10,16,0.3333333333333333,0.196078431372549,2.0980392156862746,"{'Computer aided design CAD software': 12, 'Operating system software': 1, 'Analytical or scientific software': 15, 'Office suite software': 2, 'Geographic information system': 4, 'Internet browser software': 4, 'Map creation software': 1, 'Data base user interface and query software': 2, 'Spreadsheet software': 1, 'Electronic mail software': 1, 'Presentation software': 1, 'Project management software': 1, 'Word processing software': 2, 'Object or component oriented development software': 2, 'Enterprise resource planning ERP software': 1, 'Industrial control software': 1}",16.223529411764705,17-2051,,,,,,,
17-2061.00,116,19,13,19,0.1637931034482758,0.1120689655172413,2.603448275862069,"{'File versioning software': 1, 'Analytical or scientific software': 53, 'Computer aided design CAD software': 20, 'Pattern design software': 1, 'Development environment software': 13, 'Object or component oriented development software': 6, 'Compiler and decompiler software': 1, 'Operating system software': 6, 'Data base user interface and query software': 4, 'Desktop communications software': 1, 'Information retrieval or search software': 1, 'Spreadsheet software': 2, 'Office suite software': 1, 'Presentation software': 1, 'Process mapping and design software': 1, 'Project management software': 1, 'Internet browser software': 1, 'Program testing software': 1, 'Word processing software': 1}",20.113995943204863,17-2061,Computer Hardware Engineers,17-0000,Architecture and Engineering Occupations,17-2000,Engineers,17-2060,Computer Hardware Engineers
17-2071.00,122,32,10,24,0.2622950819672131,0.081967213114754,2.3688524590163933,"{'Development environment software': 15, 'File versioning software': 1, 'Analytical or scientific software': 43, 'WAN switching software and firmware': 2, 'Computer aided design CAD software': 24, 'Industrial control software': 3, 'Operating system software': 6, 'Object or component oriented development software': 6, 'Computer aided manufacturing CAM software': 2, 'Program testing software': 2, 'Geographic information system': 2, 'Electronic mail software': 1, 'Spreadsheet software': 1, 'Office suite software': 1, 'Word processing software': 2, 'Presentation software': 1, 'Project management software': 2, 'Data base user interface and query software': 1, 'Process mapping and design software': 1, 'Financial analysis software': 1, 'Configuration management software': 1, 'Requirements analysis and system architecture software': 2, 'Enterprise resource planning ERP software': 1, 'Graphics or photo imaging software': 1}",20.20838958534233,17-2071,Electrical Engineers,17-0000,Architecture and Engineering Occupations,17-2000,Engineers,17-2070,Electrical and Electronics Engineers
17-2072.00,52,19,7,20,0.3653846153846153,0.1346153846153846,2.3076923076923075,"{'Enterprise resource planning ERP software': 1, 'Analytical or scientific software': 7, 'File versioning software': 1, 'Computer aided design CAD software': 10, 'Development environment software': 7, 'Object or component oriented development software': 6, 'Geographic information system': 1, 'Enterprise application integration software': 1, 'Graphics or photo imaging software': 2, 'Operating system software': 5, 'Electronic mail software': 1, 'Project management software': 1, 'Spreadsheet software': 1, 'Office suite software': 1, 'Presentation software': 1, 'Word processing software': 1, 'Data base user interface and query software': 2, 'Compiler and decompiler software': 1, 'Industrial control software': 1, 'Internet browser software': 1}",17.6393665158371,17-2072,"Electronics Engineers, Except Computer",17-0000,Architecture and Engineering Occupations,17-2000,Engineers,17-2070,Electrical and Electronics Engineers
17-2072.01,51,25,10,23,0.4901960784313725,0.196078431372549,1.607843137254902,"{'Program testing software': 9, 'Analytical or scientific software': 2, 'Development environment software': 7, 'Object or component oriented development software': 7, 'Operating system software': 5, 'Computer aided design CAD software': 2, 'Device drivers or system software': 1, 'Administration software': 2, 'Geographic information system': 1, 'Enterprise application integration software': 1, 'Network monitoring software': 1, 'Electronic mail software': 1, 'Spreadsheet software': 1, 'Office suite software': 1, 'Presentation software': 1, 'Project management software': 1, 'Data base user interface and query software': 2, 'Data base management system software': 1, 'Process mapping and design software': 1, 'Enterprise resource planning ERP software': 1, 'Requirements analysis and system architecture software': 1, 'Internet browser software': 1, 'WAN switching software and firmware': 1}",15.341176470588236,17-2072,,,,,,,
17-2081.00,55,14,5,16,0.2545454545454545,0.0909090909090909,2.018181818181818,"{'Analytical or scientific software': 25, 'Computer aided design CAD software': 6, 'Office suite software': 2, 'Object or component oriented development software': 2, 'Compliance software': 6, 'Desktop communications software': 1, 'Geographic information system': 3, 'Development environment software': 1, 'Industrial control software': 1, 'Map creation software': 2, 'Data base user interface and query software': 1, 'Spreadsheet software': 1, 'Presentation software': 1, 'Project management software': 1, 'Word processing software': 1, 'Graphics or photo imaging software': 1}",15.224598930481283,17-2081,Environmental Engineers,17-0000,Architecture and Engineering Occupations,17-2000,Engineers,17-2080,Environmental Engineers
17-2111.00,74,18,4,22,0.2432432432432432,0.054054054054054,2.0945945945945947,"{'Data base user interface and query software': 4, 'Computer aided design CAD software': 5, 'Analytical or scientific software': 32, 'Object or component oriented development software': 2, 'Compliance software': 8, 'Computer based training software': 2, 'Customer relationship management CRM software': 1, 'Development environment software': 4, 'Map creation software': 1, 'Operating system software': 1, 'Web platform development software': 1, 'Spreadsheet software': 1, 'Office suite software': 1, 'Electronic mail software': 1, 'Presentation software': 2, 'Project management software': 2, 'Graphics or photo imaging software': 1, 'Word processing software': 1, 'Video creation and editing software': 1, 'License management software': 1, 'Document management software': 1, 'Enterprise resource planning ERP software': 1}",16.387758346581876,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",17-0000,Architecture and Engineering Occupations,17-2000,Engineers,17-2110,"Industrial Engineers, Including Health and Safety"
17-2111.02,49,10,6,10,0.2040816326530612,0.1224489795918367,2.591836734693877,"{'Analytical or scientific software': 34, 'Computer aided design CAD software': 6, 'Spreadsheet software': 1, 'Office suite software': 1, 'Presentation software': 1, 'Project management software': 1, 'Process mapping and design software': 1, 'Operating system software': 1, 'Word processing software': 2, 'Administration software': 1}",17.305882352941175,17-2111,,,,,,,
17-2112.00,104,28,6,24,0.2692307692307692,0.0576923076923076,1.9230769230769231,"{'Analytical or scientific software': 37, 'Industrial control software': 9, 'Computer aided design CAD software': 12, 'Object or component oriented development software': 4, 'Computer aided manufacturing CAM software': 2, 'Expert system software': 1, 'Enterprise application integration software': 1, 'Application server software': 1, 'Program testing software': 5, 'Electronic mail software': 1, 'Development environment software': 6, 'Inventory management software': 4, 'Operating system software': 3, 'Materials requirements planning logistics and supply chain software': 3, 'Data base user interface and query software': 3, 'Spreadsheet software': 1, 'Office suite software': 1, 'Presentation software': 1, 'Project management software': 3, 'Cloud-based data access and sharing software': 1, 'Process mapping and design software': 2, 'Word processing software': 1, 'Human resources software': 1, 'Enterprise resource planning ERP software': 1}",17.20180995475113,17-2112,Industrial Engineers,17-0000,Architecture and Engineering Occupations,17-2000,Engineers,17-2110,"Industrial Engineers, Including Health and Safety"
17-2112.01,64,30,4,22,0.46875,0.0625,2.0625,"{'Document management software': 1, 'Graphics or photo imaging software': 3, 'Web page creation and editing software': 1, 'Desktop publishing software': 1, 'Analytical or scientific software': 19, 'Web platform development software': 6, 'Graphical user interface development software': 3, 'Internet browser software': 3, 'Content workflow software': 1, 'Computer aided design CAD software': 4, 'Object or component oriented development software': 5, 'Program testing software': 5, 'Enterprise application integration software': 1, 'Operating system software': 1, 'Spreadsheet software': 1, 'Office suite software': 1, 'Electronic mail software': 1, 'Presentation software': 1, 'Process mapping and design software': 1, 'Development environment software': 2, 'Word processing software': 2, 'Video creation and editing software': 1}",18.011764705882353,17-2112,,,,,,,
17-2112.02,110,68,4,31,0.6181818181818182,0.0363636363636363,1.8727272727272728,"{'Data base management system software': 8, 'Data base user interface and query software': 7, 'Cloud-based management software': 2, 'Expert system software': 1, 'Development environment software': 14, 'Object or component oriented development software': 8, 'Portal server software': 1, 'Web platform development software': 7, 'File versioning software': 2, 'Enterprise application integration software': 3, 'Content workflow software': 1, 'Operating system software': 9, 'Program testing software': 6, 'Analytical or scientific software': 12, 'Configuration management software': 4, 'Computer aided design CAD software': 3, 'Application server software': 4, 'Electronic mail software': 3, 'Document management software': 1, 'Industrial control software': 1, 'Graphical user interface development software': 1, 'Spreadsheet software': 1, 'Office suite software': 1, 'Presentation software': 1, 'Project management software': 2, 'Process mapping and design software': 1, 'Word processing software': 1, 'Network monitoring software': 2, 'Object oriented data base management software': 1, 'Compliance software': 1, 'Network security and virtual private network VPN equipment software': 1}",20.72192513368984,17-2112,,,,,,,
17-2112.03,36,16,5,18,0.4444444444444444,0.1388888888888889,1.4444444444444444,"{'Computer aided design CAD software': 4, 'Development environment software': 3, 'Computer aided manufacturing CAM software': 4, 'Industrial control software': 3, 'Desktop communications software': 1, 'Enterprise resource planning ERP software': 3, 'Data base user interface and query software': 2, 'Electronic mail software': 3, 'Spreadsheet software': 1, 'Internet browser software': 2, 'Office suite software': 1, 'Presentation software': 1, 'Project management software': 2, 'Cloud-based data access and sharing software': 1, 'Process mapping and design software': 1, 'Word processing software': 1, 'Analytical or scientific software': 2, 'Object or component oriented development software': 1}",13.360784313725487,17-2112,,,,,,,
17-2121.00,40,13,6,14,0.325,0.15,2.325,"{'Document management software': 1, 'Computer aided design CAD software': 12, 'Analytical or scientific software': 14, 'Spreadsheet software': 2, 'Graphics or photo imaging software': 1, 'Data base user interface and query software': 1, 'Office suite software': 1, 'Electronic mail software': 1, 'Presentation software': 1, 'Project management software': 2, 'Word processing software': 1, 'Enterprise resource planning ERP software': 1, 'Facilities management software': 1, 'Video conferencing software': 1}",16.75735294117647,17-2121,Marine Engineers and Naval Architects,17-0000,Architecture and Engineering Occupations,17-2000,Engineers,17-2120,Marine Engineers and Naval Architects
17-2131.00,38,16,3,16,0.4210526315789473,0.0789473684210526,2.0789473684210527,"{'Analytical or scientific software': 7, 'Computer aided design CAD software': 5, 'Object or component oriented development software': 3, 'Enterprise resource planning ERP software': 2, 'Development environment software': 3, 'Computer aided manufacturing CAM software': 2, 'Graphics or photo imaging software': 1, 'Electronic mail software': 2, 'Data base user interface and query software': 4, 'Spreadsheet software': 1, 'Office suite software': 1, 'Presentation software': 2, 'Cloud-based data access and sharing software': 1, 'Process mapping and design software': 1, 'Word processing software': 2, 'Internet browser software': 1}",16.393498452012384,17-2131,Materials Engineers,17-0000,Architecture and Engineering Occupations,17-2000,Engineers,17-2130,Materials Engineers
17-2141.00,93,33,8,25,0.3548387096774194,0.086021505376344,2.172043010752688,"{'Computer aided manufacturing CAM software': 3, 'Analytical or scientific software': 24, 'Development environment software': 10, 'Graphics or photo imaging software': 3, 'Computer aided design CAD software': 19, 'Materials requirements planning logistics and supply chain software': 1, 'Instant messaging software': 1, 'Object or component oriented development software': 5, 'Configuration management software': 3, 'Industrial control software': 3, 'Financial analysis software': 1, 'Geographic information system': 2, 'Electronic mail software': 3, 'Data base user interface and query software': 2, 'Customer relationship management CRM software': 1, 'Spreadsheet software': 1, 'Office suite software': 1, 'Presentation software': 1, 'Project management software': 2, 'Cloud-based data access and sharing software': 1, 'Process mapping and design software': 1, 'Word processing software': 1, 'Enterprise resource planning ERP software': 2, 'Operating system software': 1, 'Data base management system software': 1}",18.78507273877293,17-2141,Mechanical Engineers,17-0000,Architecture and Engineering Occupations,17-2000,Engineers,17-2140,Mechanical Engineers
17-2141.01,29,11,2,13,0.3793103448275862,0.0689655172413793,2.4482758620689653,"{'Analytical or scientific software': 14, 'Computer aided design CAD software': 1, 'Development environment software': 3, 'Object or component oriented development software': 1, 'Enterprise resource planning ERP software': 1, 'Data base user interface and query software': 2, 'Spreadsheet software': 1, 'Office suite software': 1, 'Electronic mail software': 1, 'Presentation software': 1, 'Operating system software': 1, 'Word processing software': 1, 'Industrial control software': 1}",17.399188640973627,17-2141,,,,,,,
17-2141.02,86,36,12,22,0.4186046511627907,0.1395348837209302,2.2790697674418605,"{'Computer aided manufacturing CAM software': 2, 'Graphics or photo imaging software': 7, 'Analytical or scientific software': 18, 'Object or component oriented development software': 8, 'Computer aided design CAD software': 14, 'Enterprise application integration software': 3, 'Project management software': 3, 'Development environment software': 8, 'Program testing software': 4, 'File versioning software': 1, 'Electronic mail software': 1, 'Data base user interface and query software': 2, 'Web platform development software': 3, 'Operating system software': 4, 'Industrial control software': 1, 'Spreadsheet software': 1, 'Office suite software': 1, 'Presentation software': 1, 'Process mapping and design software': 1, 'Word processing software': 1, 'Customer relationship management CRM software': 1, 'Enterprise resource planning ERP software': 1}",19.62845417236662,17-2141,,,,,,,
17-2151.00,45,14,6,16,0.3111111111111111,0.1333333333333333,2.0444444444444443,"{'Computer aided design CAD software': 5, 'Office suite software': 2, 'Network security or virtual private network VPN management software': 1, 'Enterprise resource planning ERP software': 3, 'Analytical or scientific software': 15, 'Data base user interface and query software': 7, 'Spreadsheet software': 1, 'Electronic mail software': 1, 'Presentation software': 1, 'Project management software': 2, 'Cloud-based data access and sharing software': 1, 'Operating system software': 1, 'Word processing software': 2, 'Financial analysis software': 1, 'Map creation software': 1, 'Clustering software': 1}",15.450980392156865,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",17-0000,Architecture and Engineering Occupations,17-2000,Engineers,17-2150,"Mining and Geological Engineers, Including Mining Safety Engineers"
17-2161.00,43,14,4,14,0.3255813953488372,0.0930232558139534,2.4651162790697674,"{'Analytical or scientific software': 18, 'Object or component oriented development software': 3, 'Computer aided design CAD software': 2, 'Desktop publishing software': 1, 'Development environment software': 5, 'Graphics or photo imaging software': 1, 'Operating system software': 2, 'Data base user interface and query software': 2, 'Spreadsheet software': 2, 'Office suite software': 1, 'Presentation software': 2, 'Word processing software': 2, 'Customer relationship management CRM software': 1, 'Enterprise resource planning ERP software': 1}",17.604924760601914,17-2161,Nuclear Engineers,17-0000,Architecture and Engineering Occupations,17-2000,Engineers,17-2160,Nuclear Engineers
17-2171.00,45,22,4,17,0.4888888888888889,0.0888888888888888,2.111111111111111,"{'Computer aided design CAD software': 2, 'Object or component oriented development software': 5, 'Analytical or scientific software': 14, 'Financial analysis software': 3, 'Development environment software': 3, 'Enterprise resource planning ERP software': 2, 'Electronic mail software': 2, 'Data base user interface and query software': 4, 'Operating system software': 1, 'Spreadsheet software': 1, 'Office suite software': 1, 'Presentation software': 1, 'Project management software': 2, 'Process mapping and design software': 1, 'Word processing software': 1, 'Business intelligence and data analysis software': 1, 'Internet browser software': 1}",17.562091503267972,17-2171,Petroleum Engineers,17-0000,Architecture and Engineering Occupations,17-2000,Engineers,17-2170,Petroleum Engineers
17-2199.03,44,12,7,11,0.2727272727272727,0.1590909090909091,2.613636363636364,"{'Analytical or scientific software': 32, 'Computer aided design CAD software': 2, 'Data base user interface and query software': 1, 'Spreadsheet software': 1, 'Office suite software': 1, 'Electronic mail software': 1, 'Presentation software': 1, 'Project management software': 1, 'Process mapping and design software': 1, 'Word processing software': 1, 'Object or component oriented development software': 2}",17.866042780748664,17-2199,,,,,,,
17-2199.05,53,18,17,21,0.3396226415094339,0.320754716981132,2.150943396226415,"{'Development environment software': 9, 'Computer aided design CAD software': 8, 'Industrial control software': 2, 'Object or component oriented development software': 4, 'Computer aided manufacturing CAM software': 2, 'Analytical or scientific software': 11, 'Program testing software': 1, 'Filesystem software': 1, 'Document management software': 1, 'Platform interconnectivity software': 1, 'Operating system software': 3, 'Spreadsheet software': 1, 'Office suite software': 1, 'Presentation software': 1, 'Project management software': 1, 'Process mapping and design software': 1, 'Word processing software': 1, 'Enterprise resource planning ERP software': 1, 'Data base user interface and query software': 1, 'Requirements analysis and system architecture software': 1, 'Internet browser software': 1}",16.645061043285235,17-2199,,,,,,,
17-2199.06,91,30,0,21,0.3296703296703296,0.0,2.5494505494505493,"{'Graphics or photo imaging software': 1, 'Analytical or scientific software': 46, 'Operating system software': 9, 'Computer aided design CAD software': 10, 'Development environment software': 5, 'Object or component oriented development software': 5, 'Program testing software': 1, 'Web page creation and editing software': 1, 'File versioning software': 1, 'Web platform development software': 1, 'Data base user interface and query software': 1, 'Spreadsheet software': 1, 'Office suite software': 1, 'Electronic mail software': 1, 'Presentation software': 1, 'Project management software': 1, 'Word processing software': 1, 'Enterprise resource planning ERP software': 1, 'Industrial control software': 1, 'Requirements analysis and system architecture software': 1, 'Internet browser software': 1}",20.326308985132517,17-2199,,,,,,,
17-2199.07,51,24,9,16,0.4705882352941176,0.1764705882352941,2.313725490196078,"{'Analytical or scientific software': 11, 'Computer aided design CAD software': 13, 'Development environment software': 6, 'Object or component oriented development software': 5, 'Program testing software': 1, 'Geographic information system': 3, 'Web page creation and editing software': 1, 'Operating system software': 3, 'Map creation software': 1, 'Spreadsheet software': 1, 'Office suite software': 1, 'Electronic mail software': 1, 'Presentation software': 1, 'Process mapping and design software': 1, 'Word processing software': 1, 'Data base user interface and query software': 1}",18.67450980392157,17-2199,,,,,,,
17-2199.08,68,28,10,21,0.4117647058823529,0.1470588235294117,1.7794117647058822,"{'Data base user interface and query software': 3, 'Content workflow software': 1, 'Computer aided design CAD software': 7, 'Industrial control software': 10, 'Development environment software': 9, 'Object or component oriented development software': 5, 'Compiler and decompiler software': 1, 'Analytical or scientific software': 10, 'File versioning software': 3, 'Program testing software': 2, 'Graphical user interface development software': 1, 'Web platform development software': 1, 'Operating system software': 7, 'Spreadsheet software': 1, 'Office suite software': 1, 'Electronic mail software': 1, 'Presentation software': 1, 'Project management software': 1, 'Process mapping and design software': 1, 'Word processing software': 1, 'Video creation and editing software': 1}",16.21470588235294,17-2199,,,,,,,
17-2199.09,51,18,0,21,0.3529411764705882,0.0,2.215686274509804,"{'Graphics or photo imaging software': 1, 'Data base management system software': 1, 'Industrial control software': 1, 'Computer aided design CAD software': 10, 'Business intelligence and data analysis software': 2, 'Analytical or scientific software': 17, 'Enterprise resource planning ERP software': 2, 'Medical software': 1, 'Operating system software': 2, 'Spreadsheet software': 1, 'Office suite software': 1, 'Presentation software': 1, 'Project management software': 1, 'Process mapping and design software': 1, 'Word processing software': 1, 'Development environment software': 1, 'Data base user interface and query software': 2, 'Object or component oriented development software': 2, 'Materials requirements planning logistics and supply chain software': 1, 'Computer aided manufacturing CAM software': 1, 'Customer relationship management CRM software': 1}",17.007843137254902,17-2199,,,,,,,
17-2199.10,65,30,4,24,0.4615384615384615,0.0615384615384615,1.9692307692307691,"{'Data base user interface and query software': 3, 'Analytical or scientific software': 16, 'Development environment software': 8, 'File versioning software': 2, 'Computer aided design CAD software': 4, 'Object or component oriented development software': 6, 'Enterprise resource planning ERP software': 1, 'Geographic information system': 5, 'Enterprise application integration software': 1, 'Map creation software': 1, 'Program testing software': 1, 'Operating system software': 2, 'Spreadsheet software': 1, 'Office suite software': 1, 'Electronic mail software': 1, 'Presentation software': 1, 'Project management software': 2, 'Data base management system software': 1, 'Process mapping and design software': 1, 'Word processing software': 2, 'Industrial control software': 2, 'Business intelligence and data analysis software': 1, 'Internet browser software': 1, 'Video conferencing software': 1}",17.520361990950228,17-2199,,,,,,,
17-2199.11,57,24,10,20,0.4210526315789473,0.175438596491228,2.280701754385965,"{'Analytical or scientific software': 21, 'Computer aided design CAD software': 7, 'Operating system software': 2, 'Object or component oriented development software': 4, 'Data base user interface and query software': 3, 'Program testing software': 1, 'Geographic information system': 2, 'Mobile location based services software': 1, 'Office suite software': 2, 'Web platform development software': 1, 'Spreadsheet software': 1, 'Electronic mail software': 1, 'Presentation software': 1, 'Project management software': 1, 'Process mapping and design software': 1, 'Development environment software': 4, 'Word processing software': 1, 'Enterprise resource planning ERP software': 1, 'Customer relationship management CRM software': 1, 'Industrial control software': 1}",18.29638802889577,17-2199,,,,,,,
17-3011.00,81,26,10,22,0.3209876543209876,0.1234567901234567,1.938271604938272,"{'Pattern design software': 1, 'Document management software': 2, 'Graphics or photo imaging software': 17, 'Desktop publishing software': 1, 'Computer aided design CAD software': 29, 'Video creation and editing software': 2, 'Data base user interface and query software': 3, 'Map creation software': 4, 'Materials requirements planning logistics and supply chain software': 1, 'Development environment software': 2, 'Optical character reader OCR or scanning software': 2, 'Enterprise resource planning ERP software': 2, 'Geographic information system': 3, 'Enterprise application integration software': 1, 'Spreadsheet software': 1, 'Office suite software': 1, 'Electronic mail software': 1, 'Presentation software': 1, 'Project management software': 2, 'Process mapping and design software': 1, 'Operating system software': 1, 'Word processing software': 3}",16.712999273783588,17-3011,Architectural and Civil Drafters,17-0000,Architecture and Engineering Occupations,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",17-3010,Drafters
