SOC Code,detailed_title,major_code,major_title,minor_code,minor_title,broad_code,broad_title,normalized_SOC_Code,normalized_major_code,normalized_minor_code,normalized_broad_code
19-4051,Nuclear Technicians,19-0000,"Life, Physical, and Social Science Occupations",19-4000,"Life, Physical, and Social Science Technicians",19-4050,Nuclear Technicians,194051,19,194,1940
19-4061,Social Science Research Assistants,19-0000,"Life, Physical, and Social Science Occupations",19-4000,"Life, Physical, and Social Science Technicians",19-4060,Social Science Research Assistants,194061,19,194,1940
19-4071,Forest and Conservation Technicians,19-0000,"Life, Physical, and Social Science Occupations",19-4000,"Life, Physical, and Social Science Technicians",19-4070,Forest and Conservation Technicians,194071,19,194,1940
19-4092,Forensic Science Technicians,19-0000,"Life, Physical, and Social Science Occupations",19-4000,"Life, Physical, and Social Science Technicians",19-4090,"Miscellaneous Life, Physical, and Social Science Technicians",194092,19,194,1940
19-4099,"Life, Physical, and Social Science Technicians, All Other",19-0000,"Life, Physical, and Social Science Occupations",19-4000,"Life, Physical, and Social Science Technicians",19-4090,"Miscellaneous Life, Physical, and Social Science Technicians",194099,19,194,1940
19-5011,Occupational Health and Safety Specialists,19-0000,"Life, Physical, and Social Science Occupations",19-5000,Occupational Health and Safety Specialists and Technicians,19-5010,Occupational Health and Safety Specialists and Technicians,195011,19,195,1950
19-5012,Occupational Health and Safety Technicians,19-0000,"Life, Physical, and Social Science Occupations",19-5000,Occupational Health and Safety Specialists and Technicians,19-5010,Occupational Health and Safety Specialists and Technicians,195012,19,195,1950
21-1011,Substance Abuse and Behavioral Disorder Counselors,21-0000,Community and Social Service Occupations,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",21-1010,Counselors,211011,21,211,2110
21-1012,"Educational, Guidance, and Career Counselors and Advisors",21-0000,Community and Social Service Occupations,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",21-1010,Counselors,211012,21,211,2110
21-1013,Marriage and Family Therapists,21-0000,Community and Social Service Occupations,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",21-1010,Counselors,211013,21,211,2110
21-1014,Mental Health Counselors,21-0000,Community and Social Service Occupations,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",21-1010,Counselors,211014,21,211,2110
21-1015,Rehabilitation Counselors,21-0000,Community and Social Service Occupations,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",21-1010,Counselors,211015,21,211,2110
21-1019,"Counselors, All Other",21-0000,Community and Social Service Occupations,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",21-1010,Counselors,211019,21,211,2110
21-1021,"Child, Family, and School Social Workers",21-0000,Community and Social Service Occupations,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",21-1020,Social Workers,211021,21,211,2110
21-1022,Healthcare Social Workers,21-0000,Community and Social Service Occupations,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",21-1020,Social Workers,211022,21,211,2110
21-1023,Mental Health and Substance Abuse Social Workers,21-0000,Community and Social Service Occupations,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",21-1020,Social Workers,211023,21,211,2110
21-1029,"Social Workers, All Other",21-0000,Community and Social Service Occupations,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",21-1020,Social Workers,211029,21,211,2110
21-1091,Health Education Specialists,21-0000,Community and Social Service Occupations,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",21-1090,Miscellaneous Community and Social Service Specialists,211091,21,211,2110
21-1092,Probation Officers and Correctional Treatment Specialists,21-0000,Community and Social Service Occupations,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",21-1090,Miscellaneous Community and Social Service Specialists,211092,21,211,2110
21-1093,Social and Human Service Assistants,21-0000,Community and Social Service Occupations,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",21-1090,Miscellaneous Community and Social Service Specialists,211093,21,211,2110
21-1094,Community Health Workers,21-0000,Community and Social Service Occupations,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",21-1090,Miscellaneous Community and Social Service Specialists,211094,21,211,2110
21-1099,"Community and Social Service Specialists, All Other",21-0000,Community and Social Service Occupations,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",21-1090,Miscellaneous Community and Social Service Specialists,211099,21,211,2110
21-2011,Clergy,21-0000,Community and Social Service Occupations,21-2000,Religious Workers,21-2010,Clergy,212011,21,212,2120
21-2021,"Directors, Religious Activities and Education",21-0000,Community and Social Service Occupations,21-2000,Religious Workers,21-2020,"Directors, Religious Activities and Education",212021,21,212,2120
21-2099,"Religious Workers, All Other",21-0000,Community and Social Service Occupations,21-2000,Religious Workers,21-2090,Miscellaneous Religious Workers,212099,21,212,2120
23-1011,Lawyers,23-0000,Legal Occupations,23-1000,"Lawyers, Judges, and Related Workers",23-1010,Lawyers and Judicial Law Clerks,231011,23,231,2310
23-1012,Judicial Law Clerks,23-0000,Legal Occupations,23-1000,"Lawyers, Judges, and Related Workers",23-1010,Lawyers and Judicial Law Clerks,231012,23,231,2310
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",23-0000,Legal Occupations,23-1000,"Lawyers, Judges, and Related Workers",23-1020,"Judges, Magistrates, and Other Judicial Workers",231021,23,231,2310
23-1022,"Arbitrators, Mediators, and Conciliators",23-0000,Legal Occupations,23-1000,"Lawyers, Judges, and Related Workers",23-1020,"Judges, Magistrates, and Other Judicial Workers",231022,23,231,2310
23-1023,"Judges, Magistrate Judges, and Magistrates",23-0000,Legal Occupations,23-1000,"Lawyers, Judges, and Related Workers",23-1020,"Judges, Magistrates, and Other Judicial Workers",231023,23,231,2310
23-2011,Paralegals and Legal Assistants,23-0000,Legal Occupations,23-2000,Legal Support Workers,23-2010,Paralegals and Legal Assistants,232011,23,232,2320
23-2093,"Title Examiners, Abstractors, and Searchers",23-0000,Legal Occupations,23-2000,Legal Support Workers,23-2090,Miscellaneous Legal Support Workers,232093,23,232,2320
23-2099,"Legal Support Workers, All Other",23-0000,Legal Occupations,23-2000,Legal Support Workers,23-2090,Miscellaneous Legal Support Workers,232099,23,232,2320
25-1011,"Business Teachers, Postsecondary",25-0000,Educational Instruction and Library Occupations,25-1000,Postsecondary Teachers,25-1010,"Business Teachers, Postsecondary",251011,25,251,2510
25-1021,"Computer Science Teachers, Postsecondary",25-0000,Educational Instruction and Library Occupations,25-1000,Postsecondary Teachers,25-1020,"Math and Computer Science Teachers, Postsecondary",251021,25,251,2510
25-1022,"Mathematical Science Teachers, Postsecondary",25-0000,Educational Instruction and Library Occupations,25-1000,Postsecondary Teachers,25-1020,"Math and Computer Science Teachers, Postsecondary",251022,25,251,2510
25-1031,"Architecture Teachers, Postsecondary",25-0000,Educational Instruction and Library Occupations,25-1000,Postsecondary Teachers,25-1030,"Engineering and Architecture Teachers, Postsecondary",251031,25,251,2510
25-1032,"Engineering Teachers, Postsecondary",25-0000,Educational Instruction and Library Occupations,25-1000,Postsecondary Teachers,25-1030,"Engineering and Architecture Teachers, Postsecondary",251032,25,251,2510
25-1041,"Agricultural Sciences Teachers, Postsecondary",25-0000,Educational Instruction and Library Occupations,25-1000,Postsecondary Teachers,25-1040,"Life Sciences Teachers, Postsecondary",251041,25,251,2510
25-1042,"Biological Science Teachers, Postsecondary",25-0000,Educational Instruction and Library Occupations,25-1000,Postsecondary Teachers,25-1040,"Life Sciences Teachers, Postsecondary",251042,25,251,2510
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",25-0000,Educational Instruction and Library Occupations,25-1000,Postsecondary Teachers,25-1040,"Life Sciences Teachers, Postsecondary",251043,25,251,2510
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",25-0000,Educational Instruction and Library Occupations,25-1000,Postsecondary Teachers,25-1050,"Physical Sciences Teachers, Postsecondary",251051,25,251,2510
25-1052,"Chemistry Teachers, Postsecondary",25-0000,Educational Instruction and Library Occupations,25-1000,Postsecondary Teachers,25-1050,"Physical Sciences Teachers, Postsecondary",251052,25,251,2510
25-1053,"Environmental Science Teachers, Postsecondary",25-0000,Educational Instruction and Library Occupations,25-1000,Postsecondary Teachers,25-1050,"Physical Sciences Teachers, Postsecondary",251053,25,251,2510
25-1054,"Physics Teachers, Postsecondary",25-0000,Educational Instruction and Library Occupations,25-1000,Postsecondary Teachers,25-1050,"Physical Sciences Teachers, Postsecondary",251054,25,251,2510
25-1061,"Anthropology and Archeology Teachers, Postsecondary",25-0000,Educational Instruction and Library Occupations,25-1000,Postsecondary Teachers,25-1060,"Social Sciences Teachers, Postsecondary",251061,25,251,2510
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",25-0000,Educational Instruction and Library Occupations,25-1000,Postsecondary Teachers,25-1060,"Social Sciences Teachers, Postsecondary",251062,25,251,2510
25-1063,"Economics Teachers, Postsecondary",25-0000,Educational Instruction and Library Occupations,25-1000,Postsecondary Teachers,25-1060,"Social Sciences Teachers, Postsecondary",251063,25,251,2510
25-1064,"Geography Teachers, Postsecondary",25-0000,Educational Instruction and Library Occupations,25-1000,Postsecondary Teachers,25-1060,"Social Sciences Teachers, Postsecondary",251064,25,251,2510
25-1065,"Political Science Teachers, Postsecondary",25-0000,Educational Instruction and Library Occupations,25-1000,Postsecondary Teachers,25-1060,"Social Sciences Teachers, Postsecondary",251065,25,251,2510
25-1066,"Psychology Teachers, Postsecondary",25-0000,Educational Instruction and Library Occupations,25-1000,Postsecondary Teachers,25-1060,"Social Sciences Teachers, Postsecondary",251066,25,251,2510
25-1067,"Sociology Teachers, Postsecondary",25-0000,Educational Instruction and Library Occupations,25-1000,Postsecondary Teachers,25-1060,"Social Sciences Teachers, Postsecondary",251067,25,251,2510
25-1069,"Social Sciences Teachers, Postsecondary, All Other",25-0000,Educational Instruction and Library Occupations,25-1000,Postsecondary Teachers,25-1060,"Social Sciences Teachers, Postsecondary",251069,25,251,2510
25-1071,"Health Specialties Teachers, Postsecondary",25-0000,Educational Instruction and Library Occupations,25-1000,Postsecondary Teachers,25-1070,"Health Teachers, Postsecondary",251071,25,251,2510
25-1072,"Nursing Instructors and Teachers, Postsecondary",25-0000,Educational Instruction and Library Occupations,25-1000,Postsecondary Teachers,25-1070,"Health Teachers, Postsecondary",251072,25,251,2510
25-1081,"Education Teachers, Postsecondary",25-0000,Educational Instruction and Library Occupations,25-1000,Postsecondary Teachers,25-1080,"Education and Library Science Teachers, Postsecondary",251081,25,251,2510
25-1082,"Library Science Teachers, Postsecondary",25-0000,Educational Instruction and Library Occupations,25-1000,Postsecondary Teachers,25-1080,"Education and Library Science Teachers, Postsecondary",251082,25,251,2510
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",25-0000,Educational Instruction and Library Occupations,25-1000,Postsecondary Teachers,25-1110,"Law, Criminal Justice, and Social Work Teachers, Postsecondary",251111,25,251,2511
25-1112,"Law Teachers, Postsecondary",25-0000,Educational Instruction and Library Occupations,25-1000,Postsecondary Teachers,25-1110,"Law, Criminal Justice, and Social Work Teachers, Postsecondary",251112,25,251,2511
25-1113,"Social Work Teachers, Postsecondary",25-0000,Educational Instruction and Library Occupations,25-1000,Postsecondary Teachers,25-1110,"Law, Criminal Justice, and Social Work Teachers, Postsecondary",251113,25,251,2511
25-1121,"Art, Drama, and Music Teachers, Postsecondary",25-0000,Educational Instruction and Library Occupations,25-1000,Postsecondary Teachers,25-1120,"Arts, Communications, History, and Humanities Teachers, Postsecondary",251121,25,251,2511
25-1122,"Communications Teachers, Postsecondary",25-0000,Educational Instruction and Library Occupations,25-1000,Postsecondary Teachers,25-1120,"Arts, Communications, History, and Humanities Teachers, Postsecondary",251122,25,251,2511
25-1123,"English Language and Literature Teachers, Postsecondary",25-0000,Educational Instruction and Library Occupations,25-1000,Postsecondary Teachers,25-1120,"Arts, Communications, History, and Humanities Teachers, Postsecondary",251123,25,251,2511
25-1124,"Foreign Language and Literature Teachers, Postsecondary",25-0000,Educational Instruction and Library Occupations,25-1000,Postsecondary Teachers,25-1120,"Arts, Communications, History, and Humanities Teachers, Postsecondary",251124,25,251,2511
25-1125,"History Teachers, Postsecondary",25-0000,Educational Instruction and Library Occupations,25-1000,Postsecondary Teachers,25-1120,"Arts, Communications, History, and Humanities Teachers, Postsecondary",251125,25,251,2511
25-1126,"Philosophy and Religion Teachers, Postsecondary",25-0000,Educational Instruction and Library Occupations,25-1000,Postsecondary Teachers,25-1120,"Arts, Communications, History, and Humanities Teachers, Postsecondary",251126,25,251,2511
25-1192,"Family and Consumer Sciences Teachers, Postsecondary",25-0000,Educational Instruction and Library Occupations,25-1000,Postsecondary Teachers,25-1190,Miscellaneous Postsecondary Teachers,251192,25,251,2511
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",25-0000,Educational Instruction and Library Occupations,25-1000,Postsecondary Teachers,25-1190,Miscellaneous Postsecondary Teachers,251193,25,251,2511
25-1194,"Career/Technical Education Teachers, Postsecondary",25-0000,Educational Instruction and Library Occupations,25-1000,Postsecondary Teachers,25-1190,Miscellaneous Postsecondary Teachers,251194,25,251,2511
25-1199,"Postsecondary Teachers, All Other",25-0000,Educational Instruction and Library Occupations,25-1000,Postsecondary Teachers,25-1190,Miscellaneous Postsecondary Teachers,251199,25,251,2511
25-2011,"Preschool Teachers, Except Special Education",25-0000,Educational Instruction and Library Occupations,25-2000,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",25-2010,Preschool and Kindergarten Teachers,252011,25,252,2520
25-2012,"Kindergarten Teachers, Except Special Education",25-0000,Educational Instruction and Library Occupations,25-2000,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",25-2010,Preschool and Kindergarten Teachers,252012,25,252,2520
25-2021,"Elementary School Teachers, Except Special Education",25-0000,Educational Instruction and Library Occupations,25-2000,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",25-2020,Elementary and Middle School Teachers,252021,25,252,2520
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",25-0000,Educational Instruction and Library Occupations,25-2000,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",25-2020,Elementary and Middle School Teachers,252022,25,252,2520
25-2023,"Career/Technical Education Teachers, Middle School",25-0000,Educational Instruction and Library Occupations,25-2000,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",25-2020,Elementary and Middle School Teachers,252023,25,252,2520
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",25-0000,Educational Instruction and Library Occupations,25-2000,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",25-2030,Secondary School Teachers,252031,25,252,2520
25-2032,"Career/Technical Education Teachers, Secondary School",25-0000,Educational Instruction and Library Occupations,25-2000,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",25-2030,Secondary School Teachers,252032,25,252,2520
25-2051,"Special Education Teachers, Preschool",25-0000,Educational Instruction and Library Occupations,25-2000,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",25-2050,Special Education Teachers,252051,25,252,2520
25-2055,"Special Education Teachers, Kindergarten",25-0000,Educational Instruction and Library Occupations,25-2000,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",25-2050,Special Education Teachers,252055,25,252,2520
25-2056,"Special Education Teachers, Elementary School",25-0000,Educational Instruction and Library Occupations,25-2000,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",25-2050,Special Education Teachers,252056,25,252,2520
25-2057,"Special Education Teachers, Middle School",25-0000,Educational Instruction and Library Occupations,25-2000,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",25-2050,Special Education Teachers,252057,25,252,2520
25-2058,"Special Education Teachers, Secondary School",25-0000,Educational Instruction and Library Occupations,25-2000,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",25-2050,Special Education Teachers,252058,25,252,2520
25-2059,"Special Education Teachers, All Other",25-0000,Educational Instruction and Library Occupations,25-2000,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",25-2050,Special Education Teachers,252059,25,252,2520
25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",25-0000,Educational Instruction and Library Occupations,25-3000,Other Teachers and Instructors,25-3010,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",253011,25,253,2530
25-3021,Self-Enrichment Teachers,25-0000,Educational Instruction and Library Occupations,25-3000,Other Teachers and Instructors,25-3020,Self-Enrichment Teachers,253021,25,253,2530
25-3031,"Substitute Teachers, Short-Term",25-0000,Educational Instruction and Library Occupations,25-3000,Other Teachers and Instructors,25-3030,"Substitute Teachers, Short-Term",253031,25,253,2530
25-3041,Tutors,25-0000,Educational Instruction and Library Occupations,25-3000,Other Teachers and Instructors,25-3040,Tutors,253041,25,253,2530
25-3099,"Teachers and Instructors, All Other",25-0000,Educational Instruction and Library Occupations,25-3000,Other Teachers and Instructors,25-3090,Miscellaneous Teachers and Instructors,253099,25,253,2530
25-4011,Archivists,25-0000,Educational Instruction and Library Occupations,25-4000,"Librarians, Curators, and Archivists",25-4010,"Archivists, Curators, and Museum Technicians",254011,25,254,2540
25-4012,Curators,25-0000,Educational Instruction and Library Occupations,25-4000,"Librarians, Curators, and Archivists",25-4010,"Archivists, Curators, and Museum Technicians",254012,25,254,2540
25-4013,Museum Technicians and Conservators,25-0000,Educational Instruction and Library Occupations,25-4000,"Librarians, Curators, and Archivists",25-4010,"Archivists, Curators, and Museum Technicians",254013,25,254,2540
25-4022,Librarians and Media Collections Specialists,25-0000,Educational Instruction and Library Occupations,25-4000,"Librarians, Curators, and Archivists",25-4020,Librarians and Media Collections Specialists,254022,25,254,2540
25-4031,Library Technicians,25-0000,Educational Instruction and Library Occupations,25-4000,"Librarians, Curators, and Archivists",25-4030,Library Technicians,254031,25,254,2540
25-9021,Farm and Home Management Educators,25-0000,Educational Instruction and Library Occupations,25-9000,Other Educational Instruction and Library Occupations,25-9020,Farm and Home Management Educators,259021,25,259,2590
25-9031,Instructional Coordinators,25-0000,Educational Instruction and Library Occupations,25-9000,Other Educational Instruction and Library Occupations,25-9030,Instructional Coordinators,259031,25,259,2590
25-9042,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",25-0000,Educational Instruction and Library Occupations,25-9000,Other Educational Instruction and Library Occupations,25-9040,Teaching Assistants,259042,25,259,2590
25-9043,"Teaching Assistants, Special Education",25-0000,Educational Instruction and Library Occupations,25-9000,Other Educational Instruction and Library Occupations,25-9040,Teaching Assistants,259043,25,259,2590
25-9044,"Teaching Assistants, Postsecondary",25-0000,Educational Instruction and Library Occupations,25-9000,Other Educational Instruction and Library Occupations,25-9040,Teaching Assistants,259044,25,259,2590
25-9049,"Teaching Assistants, All Other",25-0000,Educational Instruction and Library Occupations,25-9000,Other Educational Instruction and Library Occupations,25-9040,Teaching Assistants,259049,25,259,2590
25-9099,"Educational Instruction and Library Workers, All Other",25-0000,Educational Instruction and Library Occupations,25-9000,Other Educational Instruction and Library Occupations,25-9090,Miscellaneous Educational Instruction and Library Workers,259099,25,259,2590
27-1011,Art Directors,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",27-1000,Art and Design Workers,27-1010,Artists and Related Workers,271011,27,271,2710
27-1012,Craft Artists,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",27-1000,Art and Design Workers,27-1010,Artists and Related Workers,271012,27,271,2710
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",27-1000,Art and Design Workers,27-1010,Artists and Related Workers,271013,27,271,2710
27-1014,Special Effects Artists and Animators,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",27-1000,Art and Design Workers,27-1010,Artists and Related Workers,271014,27,271,2710
27-1019,"Artists and Related Workers, All Other",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",27-1000,Art and Design Workers,27-1010,Artists and Related Workers,271019,27,271,2710
27-1021,Commercial and Industrial Designers,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",27-1000,Art and Design Workers,27-1020,Designers,271021,27,271,2710
27-1022,Fashion Designers,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",27-1000,Art and Design Workers,27-1020,Designers,271022,27,271,2710
27-1023,Floral Designers,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",27-1000,Art and Design Workers,27-1020,Designers,271023,27,271,2710
27-1024,Graphic Designers,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",27-1000,Art and Design Workers,27-1020,Designers,271024,27,271,2710
27-1025,Interior Designers,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",27-1000,Art and Design Workers,27-1020,Designers,271025,27,271,2710
27-1026,Merchandise Displayers and Window Trimmers,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",27-1000,Art and Design Workers,27-1020,Designers,271026,27,271,2710
27-1027,Set and Exhibit Designers,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",27-1000,Art and Design Workers,27-1020,Designers,271027,27,271,2710
27-1029,"Designers, All Other",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",27-1000,Art and Design Workers,27-1020,Designers,271029,27,271,2710
27-2011,Actors,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",27-2000,"Entertainers and Performers, Sports and Related Workers",27-2010,"Actors, Producers, and Directors",272011,27,272,2720
27-2012,Producers and Directors,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",27-2000,"Entertainers and Performers, Sports and Related Workers",27-2010,"Actors, Producers, and Directors",272012,27,272,2720
27-2021,Athletes and Sports Competitors,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",27-2000,"Entertainers and Performers, Sports and Related Workers",27-2020,"Athletes, Coaches, Umpires, and Related Workers",272021,27,272,2720
27-2022,Coaches and Scouts,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",27-2000,"Entertainers and Performers, Sports and Related Workers",27-2020,"Athletes, Coaches, Umpires, and Related Workers",272022,27,272,2720
27-2023,"Umpires, Referees, and Other Sports Officials",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",27-2000,"Entertainers and Performers, Sports and Related Workers",27-2020,"Athletes, Coaches, Umpires, and Related Workers",272023,27,272,2720
27-2031,Dancers,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",27-2000,"Entertainers and Performers, Sports and Related Workers",27-2030,Dancers and Choreographers,272031,27,272,2720
27-2032,Choreographers,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",27-2000,"Entertainers and Performers, Sports and Related Workers",27-2030,Dancers and Choreographers,272032,27,272,2720
27-2041,Music Directors and Composers,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",27-2000,"Entertainers and Performers, Sports and Related Workers",27-2040,"Musicians, Singers, and Related Workers",272041,27,272,2720
27-2042,Musicians and Singers,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",27-2000,"Entertainers and Performers, Sports and Related Workers",27-2040,"Musicians, Singers, and Related Workers",272042,27,272,2720
27-2091,"Disc Jockeys, Except Radio",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",27-2000,"Entertainers and Performers, Sports and Related Workers",27-2090,"Miscellaneous Entertainers and Performers, Sports and Related Workers",272091,27,272,2720
27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",27-2000,"Entertainers and Performers, Sports and Related Workers",27-2090,"Miscellaneous Entertainers and Performers, Sports and Related Workers",272099,27,272,2720
27-3011,Broadcast Announcers and Radio Disc Jockeys,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",27-3000,Media and Communication Workers,27-3010,Broadcast Announcers and Radio Disc Jockeys,273011,27,273,2730
27-3023,"News Analysts, Reporters, and Journalists",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",27-3000,Media and Communication Workers,27-3020,"News Analysts, Reporters and Journalists",273023,27,273,2730
27-3031,Public Relations Specialists,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",27-3000,Media and Communication Workers,27-3030,Public Relations Specialists,273031,27,273,2730
27-3041,Editors,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",27-3000,Media and Communication Workers,27-3040,Writers and Editors,273041,27,273,2730
27-3042,Technical Writers,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",27-3000,Media and Communication Workers,27-3040,Writers and Editors,273042,27,273,2730
27-3043,Writers and Authors,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",27-3000,Media and Communication Workers,27-3040,Writers and Editors,273043,27,273,2730
27-3091,Interpreters and Translators,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",27-3000,Media and Communication Workers,27-3090,Miscellaneous Media and Communication Workers,273091,27,273,2730
27-3092,Court Reporters and Simultaneous Captioners,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",27-3000,Media and Communication Workers,27-3090,Miscellaneous Media and Communication Workers,273092,27,273,2730
27-3099,"Media and Communication Workers, All Other",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",27-3000,Media and Communication Workers,27-3090,Miscellaneous Media and Communication Workers,273099,27,273,2730
27-4011,Audio and Video Technicians,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",27-4000,Media and Communication Equipment Workers,27-4010,"Broadcast, Sound, and Lighting Technicians",274011,27,274,2740
27-4012,Broadcast Technicians,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",27-4000,Media and Communication Equipment Workers,27-4010,"Broadcast, Sound, and Lighting Technicians",274012,27,274,2740
27-4014,Sound Engineering Technicians,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",27-4000,Media and Communication Equipment Workers,27-4010,"Broadcast, Sound, and Lighting Technicians",274014,27,274,2740
27-4015,Lighting Technicians,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",27-4000,Media and Communication Equipment Workers,27-4010,"Broadcast, Sound, and Lighting Technicians",274015,27,274,2740
27-4021,Photographers,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",27-4000,Media and Communication Equipment Workers,27-4020,Photographers,274021,27,274,2740
27-4031,"Camera Operators, Television, Video, and Film",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",27-4000,Media and Communication Equipment Workers,27-4030,"Television, Video, and Film Camera Operators and Editors",274031,27,274,2740
27-4032,Film and Video Editors,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",27-4000,Media and Communication Equipment Workers,27-4030,"Television, Video, and Film Camera Operators and Editors",274032,27,274,2740
27-4099,"Media and Communication Equipment Workers, All Other",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",27-4000,Media and Communication Equipment Workers,27-4090,Miscellaneous Media and Communication Equipment Workers,274099,27,274,2740
29-1011,Chiropractors,29-0000,Healthcare Practitioners and Technical Occupations,29-1000,Healthcare Diagnosing or Treating Practitioners,29-1010,Chiropractors,291011,29,291,2910
29-1021,"Dentists, General",29-0000,Healthcare Practitioners and Technical Occupations,29-1000,Healthcare Diagnosing or Treating Practitioners,29-1020,Dentists,291021,29,291,2910
29-1022,Oral and Maxillofacial Surgeons,29-0000,Healthcare Practitioners and Technical Occupations,29-1000,Healthcare Diagnosing or Treating Practitioners,29-1020,Dentists,291022,29,291,2910
29-1023,Orthodontists,29-0000,Healthcare Practitioners and Technical Occupations,29-1000,Healthcare Diagnosing or Treating Practitioners,29-1020,Dentists,291023,29,291,2910
29-1024,Prosthodontists,29-0000,Healthcare Practitioners and Technical Occupations,29-1000,Healthcare Diagnosing or Treating Practitioners,29-1020,Dentists,291024,29,291,2910
29-1029,"Dentists, All Other Specialists",29-0000,Healthcare Practitioners and Technical Occupations,29-1000,Healthcare Diagnosing or Treating Practitioners,29-1020,Dentists,291029,29,291,2910
